scaffold1	scaffold2	connections
21797	9599	2
50942	54072	2
58747	66490	12
10969	3256	5
12971	19322	2
80977	86587	2
92054	92055	2
5257	8834	1
21162	8185	2
13421	8018	14
1745	9762	3
55049	60223	1
36695	37151	1
43325	87990	1
23	24	29
1047	52605	4
26946	26947	6
67990	89441	1
77396	85684	1
18626	43518	8
62009	67016	7
22685	31172	1
29942	30319	1
26653	8586	1
1074	6266	35
17753	20405	2
10759	1306	12
2973	39295	3
26992	3078	2
20505	4434	1
22707	5919	34
53743	61367	1
14553	21178	8
37120	45250	167
51992	52494	3
25385	34325	4
2697	99	1
40068	57359	2
10890	39550	25
17193	31244	1
23057	28309	1
27784	33490	2
21356	985	1
20453	55379	4
11543	1181	39
92094	92684	1
76037	78304	1
72827	76165	3
4066	48656	5
24688	44723	4
5236	53249	2
68412	70051	1
38171	58603	8
21788	26343	7
166	68379	1
12722	35073	5
22637	29985	1
1466	7623	12
14263	35699	2
8062	8943	2
1838	7207	1
1463	3300	1
3140	56112	10
19261	61041	6
31933	60776	5
25210	26860	5
18929	5296	10
58327	70827	3
32770	32771	78
14762	50623	8
36155	446	1
17601	33118	2
90857	93744	1
57949	68524	1
41594	41595	2
15725	33592	4
26072	30367	10
31059	51470	1
31577	8688	1
31697	5375	2
33033	43876	6
14069	24517	60
1738	1739	1
19158	20763	6
59761	68973	2
29526	87458	3
12990	8509	12
34231	48446	1
11159	16472	7
51943	89194	3
23075	27932	1
17125	17126	11
1038	2368	3
1233	12657	20
23930	34895	1
3751	6269	2
46908	56945	1
1407	1437	19
30203	9449	1
26422	63343	8
17070	44016	9
37522	514	5
21942	39340	4
11959	15337	12
77856	84369	1
2242	6496	1
13744	19170	12
14598	16704	16
24082	5019	1
22673	280	94
40220	55619	1
42531	53057	1
10306	2419	15
60375	79357	1
12363	1958	1
35237	44106	2
59800	60919	1
65027	72711	2
23584	54541	3
22629	28906	3
32064	54278	2
27741	38488	1
22236	56539	1
25768	8989	1
26595	29048	1
12093	15023	1
18598	35569	1
40811	58055	6
33422	33998	8
81337	87859	1
25363	5717	3
49759	60872	31
14695	15130	33
252	7656	25
81623	95033	3
17578	42572	1
30628	32795	5
28868	46970	10
10635	17884	4
49504	83891	10
17734	30838	2
24035	44698	9
91071	92437	3
60735	68509	6
14204	27596	1
93776	94655	1
10560	31673	7
1050	9748	6
41310	7515	6
21611	7251	1
17962	61053	7
2213	5784	17
12235	13400	5
4540	74254	2
13650	18155	105
10891	2780	1
10460	14073	1
35676	61942	2
2418	75740	2
17931	32123	2
11780	22074	1
40156	4634	1
53326	58100	7
35852	35853	2
12810	23527	1
75697	81384	1
44495	65723	3
29578	42246	5
35047	39191	3
22079	22080	2
23673	9059	1
20878	5133	2
45254	45255	5
34589	34589	1
51727	63221	3
32784	8073	9
40036	4737	1
53278	62143	3
1435	9201	16
10984	6946	6
44529	92951	2
66649	87856	3
29563	46091	3
20927	53574	18
1347	1348	9
52849	70762	1
13649	19599	9
4724	6278	21
4838	6840	10
15073	19758	1
35387	54491	8
51548	60513	3
12285	48201	1
23260	45598	1
16813	35670	6
1494	23601	7
10272	8987	1
64349	71653	2
51579	51580	2
3831	7276	1
46645	57220	1
12588	25534	3
64699	64700	1
54939	8079	15
23887	32022	8
29361	29541	2
11204	12334	9
59386	70819	3
40892	47172	1
20647	55014	6
4846	537	12
37354	51005	40
11102	12164	18
21666	27264	34
2848	6800	1
48044	50136	3
3714	3715	55
31747	429	2
8628	8629	14
56249	75488	1
45099	61405	1
10826	31769	55
38426	47550	2
17628	32288	1
21871	31757	3
17563	24061	3
15262	53302	1
30628	30629	1
13644	15634	1
34591	47767	4
28725	7544	7
20263	59710	5
41413	56932	5
24437	26744	20
11976	18235	172
52410	9326	1
43191	43854	1
22745	9529	1
12672	54489	4
6063	6766	28
45134	50880	1
15289	66962	3
37807	37808	1
25864	3648	12
8872	8873	4
43369	9842	8
74422	82296	3
3107	91039	1
40225	55569	3
2726	3815	9
37688	9831	5
50100	50100	81
12944	27392	151
77629	83065	2
37074	63772	1
36397	50828	12
21594	38806	7
17942	3255	1
43563	60123	2
15412	24171	3
10248	33403	12
17164	36520	17
