scaffold1	scaffold2	connections
38511	50488	2
37664	47576	2
19238	6991	1
14558	2779	33
2170	223	1
55342	8253	3
8834	9985	13
48934	52970	3
28048	48327	1
38590	44112	1
2343	24331	7
6333	6705	13
240	241	32
16755	3994	22
39090	6232	7
13960	31181	1
22760	22761	2
1891	38157	2
14021	325	11
12695	41041	1
2918	3302	18
31601	58412	1
23823	35686	5
21258	29563	1
55474	560	1
2819	9818	7
2001	2920	1
35331	8903	1
4307	46976	1
14439	28697	6
186	8925	1
20869	7333	3
5207	800	1
29583	37081	1
27922	4698	21
11377	4245	1
22801	35343	1
19486	6496	3
26797	53365	2
27993	27994	2
4956	6360	1
16658	9332	10
218	37179	2
26580	8563	1
119	4213	1
26009	34802	3
35800	55265	1
12120	6841	2
15895	41299	1
13082	2616	1
1451	18359	1
14742	3514	1
42825	57467	1
23669	41539	3
11653	25056	7
47333	6107	1
56212	59802	1
5856	5857	7
20757	39411	1
44376	4665	1
15456	18345	1
11995	6716	2
22950	23240	8
13974	6201	4
24527	446	4
26826	3218	2
10175	6383	21
30762	43140	1
26144	47210	1
12603	25355	2
19497	9526	5
4391	743	2
46726	8798	3
350	665	11
21838	30721	1
11376	8535	3
2586	50032	5
20897	5287	1
61487	61488	1
2035	4885	1
47612	47613	2
13395	27982	1
1154	8563	17
26637	29826	1
31547	65723	1
28346	50036	2
18257	43458	5
13710	17198	6
6203	729	23
2930	662	24
25633	41685	1
10088	52216	17
15474	26104	2
53019	8229	1
38470	47896	2
11581	14534	1
20219	66560	1
15718	4383	1
32015	7795	1
44794	61426	2
36101	58839	1
36135	45629	1
25459	25482	4
113	24460	2
11496	20245	7
12222	21868	1
39877	41355	1
2192	3351	3
21327	26374	1
3292	8109	2
11484	59	2
19416	7286	3
16050	49274	1
27582	6960	1
24241	29294	2
18180	2480	1
27072	53966	1
4699	70234	1
23689	39119	25
25760	44048	3
10790	20713	1
46813	59890	1
4821	4844	4
12522	1830	24
22832	22833	2
2851	5497	1
13518	37839	1
19411	7045	1
12090	411	3
22688	3904	1
3427	688	1
1916	4683	1
2950	8277	1
50202	66373	1
4184	4812	20
2752	32050	1
13189	9474	4
12807	13519	4
6934	6936	14
16519	21225	1
10419	9589	8
31001	66168	1
13408	3625	3
14126	31266	2
6930	8018	28
30918	37960	1
14418	23041	2
13193	7994	28
1096	718	2
20398	4565	1
24017	612	2
44297	49458	1
31005	5337	4
11315	4963	1
18678	53551	1
31788	69720	1
38308	886	4
16279	30199	12
2271	2947	1
59634	66566	1
18691	55629	2
14204	39049	1
11964	35548	1
24003	33234	7
2170	8450	64
57504	62021	1
2914	31210	1
20011	9822	1
45067	56320	1
8208	9217	1
50703	6922	2
24794	41105	2
21376	40407	1
15564	5906	1
27303	49857	2
16828	31719	1
11871	15599	1
2561	34785	1
47585	64336	1
14762	29066	1
199	628	1
12927	3633	50
359	6266	1
29563	52924	1
20380	4524	1
29412	34793	1
60618	64523	1
11513	32387	5
24724	28323	2
18882	52964	1
38850	43204	1
14403	37574	3
12805	2673	24
18050	21285	1
23363	26581	1
4269	9668	1
6812	8755	1
21663	4484	1
45959	61277	2
1608	4209	2
33563	9277	1
