scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
80686	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
78532	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
68682	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
33392	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
34166	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
69586	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
1293	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
10804	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
7795	Proteobacteria	1	Proteobacteria	NA	NA
44922	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
17191	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
168	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
84104	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
4751	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
16980	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
88966	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
21265	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
26565	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
51805	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
67736	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
89710	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
7266	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
3439	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
8472	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
21510	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
